aisle,item,amount,unit
dairy,eggs,1,doz
dairy,feta cheese,8,oz
meat,boneless skinless chicken thighs,1.5,lbs
meat,skirt steak,1.5,lbs
pantry,chipotles en adobo,8,oz
pantry,dill pickles,1,jar
pantry,flour tortillas,1,dozen
pantry,fusilli pasta,1,lbs
pantry,gemelli pasta,1,lbs
pantry,golden raisins,4,oz
pantry,mayonnaise,8,oz
pantry,sunflower seeds,4,oz
pantry,tahini,16,oz
produce,basil,1,bunch
produce,bell peppers,6,ct
produce,fennel,1,bulb
produce,lemons,2,ct
produce,medium tomato,1,ct
produce,parsley,1,bunch
produce,red onion,1,ct
produce,spring onions,1,bunch
produce,tomatillos,6,ct
produce,waxy potatoes,1.5,lbs
produce,zucchini,2,lbs
