aisle,item,amount,unit
meat,chuck roast,4,lbs
produce,onions,6,ct
produce,garlic,1,head
booze,red wine,750,ml
pantry,beef better than boullion,1,jar
produce,waxy small potatoes,1.5,lbs
produce,carrots,3,lbs
produce,parsley,1,bunch
meat,bulk italian sausage,3,lbs
produce,celery,1,lbs
dairy,heavy cream,3,8 oz cartons
pantry,refrigerated or shelf stable gnocchi,1,lbs
produce,baby spinach,10,oz
produce,basil,1,bunch
meat,shrimp,1.5,lbs
dairy,butter,1,lbs
produce,lemons,2,ct
pantry,ditalini pasta,1,lbs
frozen,frozen peas,1,lbs
meat,pancetta,5,oz
produce,acorn squash,2,ct
produce,apples,2,ct
produce,sage,1,bunch
pantry,brown lentils,1,lbs
meat,flank steak,1.5,lbs
produce,cremini mushrooms,1.5,lbs
dairy,sour cream,8,oz
